#      dist        eig   iband        s       pz       px       py    dz2r2      dxz      dyz      dxy    dx2y2      fm0     f+m1     f-m1     f+m2     f-m2     f+m3     f-m3  
    0.48870   -6.13662       3    2.761   13.293   13.293    0.944    0.097    0.030    0.247    0.247    0.061    0.017    0.001    0.015    0.002    0.006    0.022    0.010
    0.48870   -5.37692       4    0.022    5.704    5.704   19.116    0.069    0.340    0.078    0.078    0.086    0.008    0.026    0.007    0.000    0.019    0.001    0.012
    0.48870    6.22223       5    0.706    8.941    8.941    2.643    1.015    0.001    0.811    0.811    0.369    0.021    0.003    0.015    0.003    0.005    0.023    0.018
    0.48870    6.78901       6   11.146    4.010    4.010    6.590    0.224    0.033    0.965    0.965    0.592    0.041    0.034    0.004    0.014    0.010    0.016    0.003
    0.48870    8.18943       7   13.032    3.015    3.015    9.793    0.124    1.798    0.123    0.123    0.338    0.013    0.006    0.031    0.029    0.021    0.027    0.050
    0.50007   -5.99433       3    2.489   13.539   13.539    0.849    0.097    0.029    0.251    0.251    0.059    0.017    0.001    0.016    0.001    0.006    0.023    0.010
    0.50007   -5.30984       4    0.017    5.653    5.653   19.335    0.064    0.346    0.080    0.080    0.087    0.008    0.027    0.008    0.000    0.019    0.001    0.013
    0.50007    6.24044       5    0.636    9.229    9.229    2.339    1.020    0.001    0.808    0.808    0.367    0.021    0.002    0.014    0.003    0.005    0.023    0.016
    0.50007    6.75885       6   10.939    4.017    4.017    6.725    0.225    0.039    0.959    0.959    0.604    0.040    0.035    0.003    0.014    0.009    0.015    0.002
    0.50007    8.00545       7   13.557    2.750    2.750    9.576    0.123    1.802    0.132    0.132    0.341    0.014    0.006    0.031    0.028    0.018    0.026    0.050
    0.51143   -5.85754       3    2.220   13.783   13.783    0.756    0.097    0.027    0.254    0.254    0.057    0.017    0.000    0.016    0.001    0.007    0.023    0.010
    0.51143   -5.24717       4    0.013    5.603    5.603   19.542    0.060    0.351    0.082    0.082    0.087    0.008    0.027    0.008    0.000    0.020    0.001    0.013
    0.51143    6.25990       5    0.566    9.511    9.511    2.048    1.025    0.001    0.806    0.806    0.366    0.021    0.002    0.014    0.003    0.004    0.022    0.015
    0.51143    6.73038       6   10.665    4.032    4.032    6.900    0.227    0.047    0.951    0.951    0.618    0.040    0.035    0.003    0.013    0.009    0.015    0.002
    0.51143    7.82939       7   14.144    2.480    2.480    9.335    0.122    1.803    0.143    0.143    0.340    0.015    0.005    0.031    0.027    0.016    0.026    0.050
    0.52280   -5.68644       3    1.957   13.941   13.941    0.668    0.093    0.018    0.261    0.261    0.050    0.019    0.001    0.016    0.001    0.004    0.022    0.010
    0.52280   -5.18422       4    0.009    5.547    5.547   19.744    0.054    0.352    0.084    0.084    0.087    0.007    0.026    0.008    0.000    0.020    0.001    0.014
